nome,genero,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto,quant_viagem
 MILTON COELHO DA SILVA NETO,M,73,12,7,13,10,3, 21/12/1964,"406.028,75","41.372,83","54.381,30","41.283,16","61.001,85","69.046,75","36.898,77","32.238,51","31.948,13","25.293,35","11.642,39","921,71",0,"1.042.259,69","98.440,42","99.358,12","99.358,12","99.628,66","106.925,15","98.996,63","107.236,13","110.253,98","110.995,68","111.066,80",0,0,"33.763,00",
 MISAEL ARTUR FERREIRA VARELLA,M,72,4,16,2,9,2, 27/11/1959,"294.347,22","40.550,65","28.772,67","39.473,99","36.515,71","55.694,58","22.863,70","26.098,84","7.892,07","4.772,84","31.712,17","0,00",0,"1.113.759,47","111.649,87","111.538,32","111.538,32","111.538,32","111.538,32","111.538,32","111.538,32","111.538,32","111.463,71","109.877,65",0,0,"33.763,00",
 MILTON VIEIRA PINTO,M,76,7,9,20,10,5, 16/09/1962,"284.680,47","15.104,76","24.431,95","43.074,46","32.806,86","43.685,44","26.364,39","34.727,21","27.787,62","22.992,52","13.705,26","0,00",0,"1.094.408,85","109.457,78","109.457,78","106.894,46","106.497,63","106.497,63","109.984,28","110.730,78","111.653,57","111.653,57","111.581,37",0,0,"33.763,00",
 MAURO NAZIF RASUL,M,91,1,0,36,25,0, 30/01/1959,"100.784,53","4.235,25","3.815,58","13.417,43","17.031,41","26.117,27","21.453,99","8.734,30","4.519,14","1,25","1.437,89","21,02",0,"1.108.083,45","110.974,34","110.974,34","110.974,34","110.974,34","110.974,34","110.869,40","110.263,46","110.130,21","110.974,34","110.974,34",0,0,"33.763,00",
 MIGUEL LOMBARDI,M,92,0,0,58,13,0, 29/01/1964,"217.790,83","21.529,06","20.198,21","30.632,06","38.065,72","45.564,65","12.768,86","16.882,42","10.720,35","11.587,90","7.771,10","2.070,50",0,"1.101.861,13","110.285,02","110.027,91","108.913,76","108.699,50","108.742,35","110.027,91","110.185,82","111.659,62","111.659,62","111.659,62",0,0,"33.763,00",
 NEREU CRISPIM,M,76,1,15,36,14,16, 21/07/1963,"417.797,69","52.892,77","67.730,02","46.926,51","36.681,89","35.764,37","43.612,55","21.861,94","16.947,45","12.156,21","82.241,98","982,00",0,"1.097.932,79","109.332,85","110.197,30","111.617,15","111.498,26","111.444,57","109.844,51","108.850,50","107.832,63","108.701,27","108.613,75",0,0,"33.763,00",
 NEUCIMAR FERREIRA FRAGA,M,87,4,1,68,7,0, 26/06/1966,"349.436,13","34.545,81","33.612,52","49.129,99","55.029,76","67.613,75","35.393,03","21.575,54","12.366,55","10.463,83","28.539,40","1.165,95",0,"1.098.923,43","111.368,66","111.040,46","111.107,83","111.107,83","109.270,87","107.980,30","110.501,19","110.501,19","107.478,78","108.566,32",0,0,"33.763,00",1
 NERI GELLER,M,60,18,14,25,18,7, 07/11/1968,"322.194,69","26.016,06","29.783,49","39.536,45","41.096,72","45.632,52","37.712,93","29.857,26","35.665,64","22.036,30","14.232,16","625,16",0,"1.109.132,74","111.647,55","111.647,55","111.647,55","111.647,55","111.647,55","111.647,55","111.647,55","105.317,58","111.647,55","110.634,76",0,0,"33.763,00",1
 NEWTON CARDOSO JUNIOR,M,85,6,1,25,12,1, 11/11/1979,"282.029,02","62.781,95","58.116,52","45.506,36","30.662,50","33.316,42","24.375,56","21.306,96","5.675,41","213,73","73,61","0,00",0,"1.098.429,50","111.046,40","110.209,90","111.152,64","110.209,90","110.209,90","110.104,96","108.206,02","109.148,38","109.148,38","108.993,02",0,0,"33.763,00",1
 NILSON PINTO DE OLIVEIRA,M,77,15,0,26,39,0, 25/03/1952,"340.162,81","39.664,04","46.872,66","56.655,20","37.457,02","35.301,13","36.143,13","32.546,53","26.440,59","14.982,99","13.649,53","449,99",0,"1.102.101,46","111.368,62","111.368,62","111.368,62","109.207,75","109.771,77","111.671,95","111.671,95","110.439,24","109.852,23","105.380,71",0,0,"33.763,00",
 ANTONIO CARLOS NICOLETTI,M,75,16,1,59,31,0, 21/07/1981,"369.112,29","38.016,72","67.484,95","68.546,23","46.662,93","44.145,52","29.902,09","21.903,43","14.408,35","16.165,84","21.876,23","0,00",0,"1.041.585,95","106.715,96","104.753,67","100.268,19","104.648,11","102.051,33","104.582,59","104.199,41","104.950,39","104.708,15","104.708,15",0,0,"33.763,00",
 NIVALDO FERREIRA DE ALBUQUERQUE NETO,M,67,15,10,3,19,5, 07/01/1988,"389.428,26","51.142,75","32.527,80","36.723,40","44.128,80","45.988,02","40.122,75","36.721,32","36.428,86","25.644,56","40.000,00","0,00",0,"1.108.543,32","109.956,52","110.816,48","110.816,48","110.816,48","110.816,48","110.835,89","111.538,32","111.538,32","111.538,32","109.870,03",0,0,"33.763,00",
 NILTO IGNACIO TATTO,M,87,1,4,28,17,4, 31/07/1963,"328.669,61","21.771,11","30.106,02","49.511,22","34.833,12","65.168,75","26.285,28","25.096,49","26.593,94","14.143,77","32.652,90","2.507,01",0,"1.114.366,15","111.240,10","111.304,77","111.477,66","111.477,66","111.477,66","111.477,66","111.477,66","111.477,66","111.477,66","111.477,66",0,0,"33.763,00",1
 ODAIR JOSÉ DA CUNHA,M,82,3,7,10,5,0, 18/06/1976,"304.994,45","55.346,62","34.653,62","37.546,58","42.542,21","34.172,80","29.794,44","18.443,73","32.816,78","7.463,12","11.963,31","251,24",0,"1.102.598,87","111.079,82","110.852,83","110.852,83","109.882,90","111.168,04","110.621,09","105.404,52","110.351,88","111.192,48","111.192,48",0,0,"33.763,00",
 OLIVAL HENRIQUE MARQUES DE SOUZA,M,81,5,6,14,21,1, 09/01/1982,"348.705,13","64.969,14","46.736,63","44.780,36","30.622,11","46.335,41","33.972,17","36.328,22","102,58","52,03","44.758,25","48,23",0,"1.111.361,39","111.623,31","111.623,31","109.592,61","111.004,98","111.649,12","111.623,31","111.623,31","111.623,31","111.623,31","109.374,82",0,0,"33.763,00",
 OSMAR GASPARINI TERRA,M,78,1,13,51,1,19, 18/02/1950,"350.612,89","33.397,85","46.176,89","34.640,39","49.625,96","53.227,35","32.297,67","47.515,44","36.597,23","7.122,49","9.713,41","298,21",0,"1.112.941,73","109.825,73","111.653,70","111.653,70","111.653,70","111.653,70","111.406,01","110.461,51","111.544,56","111.544,56","111.544,56",0,0,"33.763,00",
 OTONI MOURA DE PAULO JUNIOR,M,84,4,4,22,10,5, 22/11/1976,"311.152,22","29.251,54","38.621,21","33.877,22","38.157,30","34.241,98","39.525,24","32.193,49","28.983,36","14.438,89","21.861,99","0,00",0,"1.094.715,33","111.344,26","111.344,26","103.979,14","109.309,25","108.218,25","109.698,65","110.326,95","111.397,23","108.096,55","111.000,79",0,0,"33.763,00",
 OSMAR JOSÉ SERRAGLIO,M,90,0,2,18,5,1, 23/05/1948,"320.921,03","19.077,70","29.207,40","26.130,41","20.067,80","44.531,69","51.037,47","44.790,12","55.420,83","11.583,44","17.433,34","1.640,83",0,"1.078.596,19","102.045,23","102.045,23","102.373,18","107.128,41","107.128,41","111.455,77","111.604,99","111.604,99","111.604,99","111.604,99",0,0,"33.763,00",
 OSSESIO JOSE DA SILVA,M,91,1,0,40,23,0, 09/12/1954,"326.705,74","22.856,08","32.967,51","44.885,09","44.251,03","42.878,97","36.165,64","32.571,00","36.167,25","16.417,17","15.511,06","2.034,94",0,"1.048.780,85","95.126,13","100.049,61","100.049,61","101.155,61","107.399,42","109.451,62","109.451,62","109.451,62","109.451,62","107.193,99",0,0,"33.763,00",
 JOSE OTACI BARROSO DO NASCIMENTO,M,74,14,4,9,36,3, 18/08/1977,"368.718,02","34.097,64","49.392,31","48.210,97","34.983,27","71.884,29","52.613,86","34.187,15","24.172,09","19.176,44","0,00","0,00",0,"1.060.727,53","110.634,47","110.634,47","111.461,19","104.089,69","105.399,95","109.079,92","98.027,86","102.477,45","105.600,39","103.322,14",0,0,"33.763,00",
 ORLANDO SILVA DE JESUS JUNIOR,M,86,0,6,55,29,2, 27/05/1971,"347.684,93","34.078,45","50.115,29","48.011,52","36.761,90","35.143,24","42.254,79","31.343,85","29.333,12","17.559,57","22.948,20","135,00",0,"1.111.690,71","111.617,03","111.617,03","111.617,03","111.617,03","111.617,03","110.482,75","110.592,71","110.092,96","111.501,80","110.935,34",0,0,"33.763,00",1
 OTTO ROBERTO MENDONÇA DE ALENCAR FILHO,M,85,0,7,38,5,3, 07/07/1977,"309.949,51","28.191,31","32.661,13","41.179,54","35.834,47","40.153,83","38.194,37","35.104,11","26.903,72","27.484,62","3.963,73","278,68",0,"1.110.778,20","111.077,82","111.077,82","111.077,82","111.077,82","111.077,82","111.077,82","111.077,82","111.077,82","111.077,82","111.077,82",0,0,"33.763,00",
 LUIZ CARLOS MOTTA,M,84,8,0,25,25,0, 24/04/1959,"198.130,09","14.042,14","18.661,32","24.345,26","27.399,17","56.728,50","17.013,50","17.082,53","5.413,05","9.042,24","8.142,09","260,29",0,"1.105.537,79","111.398,85","111.398,85","111.398,85","111.398,85","111.398,85","111.354,57","110.070,44","110.070,44","110.070,44","106.977,65",0,0,"33.763,00",
 LUIZ GOULARTE ALVES,M,83,3,6,79,4,3, 06/06/1962,"285.318,72","17.529,81","25.209,26","27.551,78","33.767,73","60.114,45","51.834,55","20.110,94","22.280,94","15.064,03","10.898,43","956,80",0,"1.095.279,82","108.232,40","109.781,35","109.900,50","109.900,50","109.900,50","109.900,50","108.325,93","109.537,14","109.900,50","109.900,50",0,0,"33.763,00",
 LUIZ HILOSHI NISHIMORI,M,70,3,19,19,7,6, 09/04/1949,"330.074,38","26.662,66","40.716,70","40.962,20","48.292,97","35.368,39","19.045,34","23.509,88","23.445,46","13.016,89","59.053,89","0,00",0,"1.109.933,29","110.729,39","107.428,89","110.412,97","111.629,27","111.629,27","111.629,27","111.629,27","111.586,42","111.629,27","111.629,27",0,0,"33.763,00",
 LUIZ PHILIPPE DE ORLEANS BRAGANÇA,M,83,9,0,26,7,0, 03/04/1969,"223.660,21","19.234,16","41.336,91","21.511,75","44.161,20","47.173,05","7.449,77","24.167,48","10.538,27","769,81","7.317,81","0,00",0,"836.796,44","80.014,24","80.014,24","78.351,82","77.614,00","88.736,90","88.736,90","87.317,09","86.046,97","84.982,14","84.982,14",0,0,"33.763,00",
 LUIZ EDUARDO CARNEIRO DA SILVA DE SOUZA LIMA,M,92,0,0,58,1,0, 10/12/1977,"262.469,14","31.403,73","29.475,83","44.044,70","36.275,81","37.791,57","25.474,97","22.228,02","13.587,63","12.264,36","9.922,52","0,00",0,"1.104.744,46","111.586,85","109.394,70","110.910,09","111.665,82","111.665,82","111.665,82","111.338,69","111.132,04","111.132,04","104.252,59",0,0,"33.763,00",
 VITOR HUGO DE ARAUJO ALMEIDA,M,87,0,5,3,0,0, 31/05/1977,"247.991,02","16.432,60","26.263,43","32.192,06","24.370,73","53.974,90","20.455,63","20.521,90","18.883,41","19.878,69","14.201,72","815,95",0,"1.069.836,62","107.407,57","103.693,97","109.197,36","107.703,17","109.899,43","101.572,63","102.809,45","106.773,19","109.126,21","111.653,64",0,0,"33.763,00",
 MARCEL VAN HATTEM,M,92,0,0,73,4,13, 08/11/1985,"95.767,47","8.123,69","12.211,18","13.243,58","12.804,33","14.137,18","10.989,52","6.481,38","8.305,85","1.594,95","7.201,12","674,69",0,"729.302,93","59.210,65","74.561,08","77.565,06","86.027,94","88.136,42","88.475,30","88.365,70","66.535,02","50.212,88","50.212,88",0,0,"33.763,00",1
 MARCELO HENRIQUE TEIXEIRA DIAS,M,82,10,0,12,5,0, 16/02/1974,"285.409,71","30.085,79","35.297,73","48.468,84","34.529,84","42.150,69","25.388,43","21.373,22","20.519,82","20.596,13","6.614,84","384,38",0,"1.104.089,09","110.549,48","110.549,48","110.549,48","110.549,48","110.453,99","109.913,41","111.574,63","110.366,56","109.791,29","109.791,29",0,0,"33.763,00",
 MARCELO RIBEIRO FREIXO,M,87,5,0,4,14,0, 12/04/1967,"220.700,09","25.371,50","37.740,75","19.009,57","39.407,40","37.663,26","20.187,89","24.073,45","6.438,59","3.826,90","6.980,78","0,00",0,"1.068.647,07","109.763,04","108.881,53","107.855,63","110.816,54","106.834,03","107.170,93","111.113,71","105.198,94","100.500,32","100.512,40",0,0,"33.763,00",
 MARCELO GUILHERME DE ARO FERREIRA,M,84,5,3,10,47,2, 12/06/1987,"307.213,40","26.986,31","36.212,74","47.099,34","36.707,50","41.663,07","44.619,68","30.286,71","26.697,75","14.022,88","2.892,70","24,72",0,"1.080.767,01","106.502,04","111.068,56","111.653,48","104.573,06","103.998,48","103.998,48","108.171,78","109.020,22","111.580,78","110.200,13",0,0,"33.763,00",
 MARCELO PIRES MORAES,M,87,2,3,16,16,3, 07/08/1979,"212.374,45","15.903,33","44.958,34","24.488,41","24.420,07","33.677,36","32.417,15","26.539,86","4.190,21","4.850,81","928,91","0,00",0,"1.090.745,07","108.976,88","107.192,46","110.469,44","111.026,25","109.177,45","111.653,48","111.653,48","111.653,48","105.897,43","103.044,72",0,0,"33.763,00",
 JOSÉ MARCELO DO NASCIMENTO NILO,M,80,6,6,13,0,2, 26/04/1955,"366.890,19","61.106,10","34.937,85","36.268,18","40.958,43","35.389,33","43.742,38","26.510,69","33.743,64","25.941,00","25.061,20","3.231,39",0,"1.116.172,50","111.617,25","111.617,25","111.617,25","111.617,25","111.617,25","111.617,25","111.617,25","111.617,25","111.617,25","111.617,25",0,0,"33.763,00",
 MARCELO RAMOS RODRIGUES,M,82,2,8,2,7,0, 29/08/1973,"390.210,55","20.242,76","39.354,81","57.067,23","41.462,69","41.579,55","62.349,92","61.760,73","26.114,33","23.392,50","16.672,07","213,96",0,"1.105.239,61","111.617,27","110.137,00","111.465,63","108.808,39","109.386,03","111.155,67","111.295,59","109.732,76","110.023,99","111.617,28",0,0,"33.763,00",
